Term,Freq
belasting naar aantal assen,493
asdruk,494
gerechtelijke achterstand,499
weer en wind,502
gerechtsdeurwaarder,505
bakkerij,506
betalingsbalans,507
financiële steun,508
deficitaire balans,509
balans,510
ballistische raket,514
bank,520
bankkosten,521
bankactiviteit,524
bankbeleid,525
beroep in het bankwezen,526
bankgeheim,527
banksysteem,529
faillissement,530
staaf,532
aak,535
gerst,537
ruilhandel,539
elementair onderwijs,540
levensbehoeften,541
basisprijs,542
basisonderzoek,543
belastinggrondslag,545
zwemwater,548
bauxiet,549
beer,551
lager,552
rundvlees,553
rund,554
bier,555
bietsuiker,556
benchmarking,563
beryllium,569
drank,571
drankenindustrie,572
bibliografie,574
big data,576
bilaterale overeenkomst,578
bilaterale hulp,579
bilaterale betrekking,580
biochemie,582
biologische afbreekbaarheid,585
biodiversiteit,586
bio-energie,587
bio-ethiek,588
biobrandstof,589
biogas,590
biologische norm,593
biologisch wapen,594
biologie,595
biomassa,596
biosfeer,600
biotechnologie,601
biotoop,602
vogel,604
geboorteregeling,605
bismut,609
bitumineus materiaal,611
tweekleppig weekdier,612
blanco stem,615
blog,618
bloedtransfusie,620
arbeider,621
schimmelkaas,622
kostschool,623
raad van bestuur,624
bedrijfsleiding,625
verwarmingsketel,627
obligatie,633
spaanplaat,634
uitgebeend vlees,635
boekensector,638
grenscontrole,639
boreaal bos,641
plantkunde,646
gebottelde wijn,649
bottelen,650
boviene spongiforme encefalopathie,652
braindrain,656
filiaal,657
bedrijfstak,658
handelsmerk,660
onschendbaarheid van de woning,664
misbruik van vertrouwen,665
brood,666
broodbereiding,667
kweekreactor,669
fokdier,670
baksteen,673
brug,675
uitgezonden videografie,682
makelaar,683
broom,684
browser,685
brucellose,686
boekweit,690
begroting,694
wijziging van de begroting,696
raming van de begroting,697
begrotingsnomenclatuur,698
begrotingscontrole,699
budgettaire samenwerking,700
kwijting van de begroting,701
budgettair evenwicht,703
begrotingsprocedure,706
budgettaire middelen,708
uitgaven stabiliserende maatregel,710
begrotingsrecht,711
begrotingstekort,712
begrotingsraming,713
financiering van de begroting,714
begrotingsbeleid,715
buffelvlees,717
buffervoorraad,718
gebouw,719
bouwnijverheid,720
isolatie van gebouwen,721
bouwmaterialen,722
bouwvergunning,723
bouwterrein,724
bouwvoorschriften,725
veiligheid van gebouwen,726
technische voorzieningen van gebouwen,727
steun aan de bouwnijverheid,730
agglomeratie,732
onverpakt product,735
stier,736
autobus,745
bedrijf,746
bedrijfseconomie,747
bedrijfsbeheerssysteem,749
huurcontract van een winkel,751
vestigen van een bedrijf,752
bedrijfsbeheer,753
economische ethiek,754
handelsnaam,755
bedrijvenpark,756
ondernemingsbeleid,757
oprichting van een onderneming,758
bedrijfsbelasting,759
zakelijk toerisme,760
busstation,761
butaan,762
boter,763
butteroil,764
bijvangst,767
tussentijdse verkiezing,768
bijproduct,769
vervoer per kabel,772
cadmium,774
calcium,780
kalf,781
kamperen,785
kanker,789
kandidaat,790
rietsuiker,791
bevoegdheid om overeenkomsten te sluiten,795
handelingsbekwaamheid,796
handelingsbevoegdheid,797
hoofdstad,799
kapitaalvermindering,800
belasting op de meerwaarde,801
kapitaalgoed,802
kapitaalvermeerdering,803
kapitaalmarkt,804
kapitaaloverdracht,806
overdrachtsbelasting,807
koolstof,809
karkas,811
kankerverwekkende stof,812
verzorgingsuitkering,814
zorg voor ouderen,815
bescherming van moeder en kind,816
vrachtschip,818
tapijten,826
vervoer voor rekening van derden,827
goederenvervoer,828
reizigersvervoer,829
vervoerder,830
laadvermogen,831
kartel,834
cartografie,835
jurisprudentie,836
cashflow,839
maniok,842
gietijzer,845
ricinus,846
incidenteel werk,847
catalogus,848
catalogisering,849
vangstgebied,851
vangst per soort,852
visvangst,853
vangstquota,854
beroep in de horecasector,857
rundvee,859
staakt-het-vuren,867
cellulose,871
cement,872
begraafplaats,873
censuur,875
telling,876
centrale bank,888
centrale overheid,893
centralisatie van de informatie,896
spilkoers,899
keramiek,907
graanvlokken,908
meel van graan,909
graanproduct,911
certificaat van oorsprong,916
hertachtige,917
opheffing van een landbouwbedrijf,918
opheffing van de zaak,919
verschoning,924
champagne,926
omscholing,928
verandering van politiek stelsel,929
houtskool,932
tenlastelegging,933
heffing van gelijke werking,934
heffingen op vervoersinfrastructuur,935
charteren,936
kaas,939
kaasmakerij,940
chemisch ongeval,941
chemische alcohol,942
chemische verbinding,943
chemisch element,944
kunstmest,945
chemische industrie,946
chemische verontreiniging,947
chemisch procédé,948
chemisch product,949
chemisch zout,950
wetgeving inzake chemische producten,951
chemisch afval,952
chemisch wapen,953
scheikunde,954
cheque,955
kind,956
kinderarbeid,958
kinderpornografie,960
kinderbescherming,961
chloor,967
gekozen technologie,968
chroom,972
chronische ziekte,973
kerk,974
cider,976
cif-prijs,977
film,978
rondschrijven,979
circulaire economie,980
citrusfruit,985
burgerluchtvaart,989
faillissement in civiel recht,990
burgerlijk wetboek,991
burgerbescherming,992
bouwkunde,994
burgerpersoneel,995
slachtoffer onder burgerbevolking,996
beschaving,997
burgerlijk recht,998
civiele aansprakelijkheid,999
aansprakelijkheidsvordering,1000
burgerlijke rechtsvordering,1001
burgerlijke procedure,1002
bevolkingsregister,1003
burgerschapsrechten,1004
ambtenaar,1005
overheidsapparaat,1007
civiele samenleving,1009
burgerlijke stand,1010
geregistreerd samenwonen,1011
burgeroorlog,1012
schuldvordering,1013
illegale werknemer,1014
classificatie,1015
beschermd bos,1016
mechanisme voor schone ontwikkeling,1018
wasserij,1019
schone technologie,1020
compensatieovereenkomst,1021
ontginning,1022
klimaat,1024
beleid inzake klimaatverandering,1026
klimatologie,1028
klonen,1030
sluiting van de rekeningen,1031
kledingstuk,1032
kledingindustrie,1033
klaver,1035
steenkool,1037
koolstofchemie,1038
steenkoolindustrie,1039
verwerking van steenkool,1042
kustgebied,1045
kobalt,1046
cacao,1047
inspraakprocedure,1048
gedragscode,1049
codering,1052
koffie,1053
cofinanciering,1054
ongehuwd samenleven,1055
cokes,1058
koelinstallatie,1059
koude oorlog,1060
collectieve arbeidsovereenkomst,1063
collectieve onderhandeling,1064
collectief ontslag,1065
collectieve boerderij,1066
algemeen belang,1067
collectief geheugen,1068
collectief verhaal,1069
gecombineerd vervoer,1078
verbrandingsgas,1079
strip,1082
comitologie,1083
herdenkingsplechtigheid,1084
nota van toelichting,1085
handelsbank,1087
commerciële rechtspraak,1090
commerciële landbouw,1092
handelsrecht,1093
commerciële media,1094
bedrijfsvoertuig,1096
commissionair,1097
aangaan van betalingsverplichtingen,1100
enquêtecommissie,1102
commissieverslag,1103
markt van basisproducten,1105
prijs van basisproducten,1107
gemeenschappelijk landbouwbeleid,1108
gemeenschappelijk handelsbeleid,1109
gemeenschappelijk douanetarief,1110
gemeenschappelijk visserijbeleid,1111
gemeenschappelijk buitenlands en veiligheidsbeleid,1112
gemeenschappelijk fonds,1114
common law,1116
gemeenschappelijke markt,1117
gemeenschappelijke marktordening,1119
gemeenschappelijk standpunt,1121
gemeenschappelijk prijsbeleid,1122
gemeenschappelijke strategie,1124
gemeenschappelijk tariefbeleid,1125
gemeenschappelijk vervoersbeleid,1126
zachte tarwe,1129
communicatie-industrie,1131
communicatie in de praktijk,1132
communicatiebeleid,1133
beroep in de communicatiesector,1134
communicatiesysteem,1135
gemeenschapsvoorzieningen,1143
niet-commerciële vennootschap,1160
groei van de onderneming,1161
onderneming in moeilijkheden,1162
vennootschapsrecht,1163
vennoot,1164
modernisering van de onderneming,1165
research binnen de onderneming,1166
structuur van de onderneming,1167
kapitaalvennootschap,1168
vergelijkende reclame,1169
vergelijkend onderzoek,1170
vergelijkend onderwijs,1171
vergelijkend recht,1172
vergelijkende studie,1173
compenserende financiering,1174
institutionele bevoegdheid,1175
concurrentie,1177
concurrentiebeleid,1180
concurrentievermogen,1181
complementariteit van het handelsverkeer,1184
medeplichtigheid,1186
samengesteld materiaal,1187
akkoordprocedure,1188
samenstelling van een parlementaire commissie,1189
samenstelling van de bevolking,1191
schoolplicht,1192
verplichte uitgave,1193
verplichte verzekering,1194
gedwongen sparen,1195
stemplicht,1196
computer,1197
toegepaste informatica,1198
computerondersteunde fabricage,1200
desktop publishing,1201
computercriminaliteit,1203
gegevensverwerkende installatie,1204
computernetwerk,1205
informatica,1208
gecondenseerde melk,1211
geconcentreerd product,1212
machtsconcentratie,1214
concessiehouder,1217
overlegprocedure,1218
beton,1220
kruiderij,1221
leiden van een vergadering,1223
suikerwaren,1225
vertrouwelijkheid,1231
verbeurdverklaring van goederen,1232
belangenconflict,1234
conflictpreventie,1237
aangeboren ziekte,1238
conglomeraat van bedrijven,1239
gewetensbezwaar,1245
goedkeuringsprocedure,1246
bescherming van de visbestanden,1247
bescherming van hulpbronnen,1248
geconsolideerde rekening,1251
consortium,1253
grondwet,1255
constitutionele rechtspraak,1256
grondwettelijk recht,1257
herziening van de grondwet,1259
bouwkosten,1260
bouwmaterieel,1261
consulaat,1263
advies en inspectie,1264
raadpleging van informatie,1265
raadplegingsprocedure,1266
consument,1267
consumentengedrag,1268
consumptief krediet,1270
consumptieve vraag,1271
consumptiegoederen,1272
consumentenvoorlichting,1273
motivatie van de consument,1275
consumentenorganisatie,1276
consumentenbeleid,1277
bescherming van de consument,1279
onderzoek naar de consumptie,1281
verbruik,1282
consumptieve bestedingen,1283
container,1285
hedendaagse geschiedenis,1286
aangrenzende zone,1287
continentaal plat,1289
permanente educatie,1290
voortdurende bijscholing,1291
continuproductie,1292
contract,1295
vervoersovereenkomst,1297
personeel op contractbasis,1298
clausule,1299
contractuele aansprakelijkheid,1300
geleide economie,1301
toezicht op de communicatie,1302
conventioneel wapen,1306
omrekeningskoers,1308
omschakeling op tuinbouw,1310
samenwerkingsovereenkomst,1312
samenwerking in binnenlandse aangelegenheden,1314
samenwerking op onderwijsgebied,1315
samenwerking op landbouwgebied,1316
samenwerkingsbeleid,1317
samenwerkingsprocedure,1318
coöperatie,1319
coöperatieve bank,1320
coördinatie van de steunmaatregelen,1321
coördinatie van financieringen,1323
koper,1325
auteursrecht,1327
uitzondering op het auteursrecht,1328
kurk,1330
leiding van een onderneming,1333
sociale verantwoordelijkheid van ondernemingen,1334
vennootschapsbelasting,1335
correspondentie,1338
corrosie,1339
corruptie,1340
cosmetisch product,1343
cosmetische industrie,1344
kostenanalyse,1347
kosten-batenanalyse,1349
kostenefficiëntieanalyse,1350
kostenberekening,1351
kredietkosten,1352
kapitaalkosten,1353
kosten van levensonderhoud,1354
kosten door verontreiniging,1355
kostprijs,1356
katoen,1359
valsemunterij,1370
compenserende heffing,1372
telling van de stemmen,1373
bescherming van het landschap,1376
graafschap,1377
buitengewone rechtbank,1399
scheidsrechtspraak,1400
burgerlijke rechtspraak,1401
rechtspraak,1404
koe,1406
kaas van koeienmelk,1407
ambachtelijke productie,1409
room,1411
krediet,1413
kredietgarantie,1415
kredietinstelling,1416
kredietverzekering,1417
kredietbeleid,1418
aankoop op krediet,1419
kredietrating,1420
verkoop op krediet,1421
overschrijving,1422
coöperatieve kredietinstelling,1423
varend en vliegend personeel,1425
criminaliteit,1426
misdaad tegen de menselijkheid,1427
misdaad tegen de personen,1428
strafrechtspraak,1431
gerechtelijke politie,1432
strafrecht,1433
strafrechtelijke aansprakelijkheid,1434
criminele verwaarlozing,1435
strafprocedure,1436
strafrechtelijke procedure,1437
strafrechtelijke aansprakelijkheid van minderjarigen,1439
criminologie,1440
crisisbeheersing,1441
verloren gaan van de oogst,1443
verzorging van het gewas,1444
plantaardige productie,1445
wisselbouw,1446
landbouwopbrengst,1447
grensoverschrijdende samenwerking,1448
grensoverschrijdende dimensie,1449
grensoverschrijdende gegevensstroom,1451
ruwe aardolie,1454
wrede en onterende behandeling,1455
schaaldieren,1456
teelt van schaaldieren,1457
codering van informatie,1458
landbouwtechniek,1461
teelt onder plastic,1462
culturele samenwerking,1463
cultureel verschil,1464
culturele manifestatie,1465
